Leonotis nepetifolia	ARG(BAI, COS, ERI, MIS) / BRA(RGS, SCA) / PRY(CEN, COA, PAI) / URY(ART, PAY)
Leontochir ovallei var. ovallei	CHL(ATA)
Leontochir ovallei var. luteus	CHL(ATA)
Leontodon autumnalis	ARG(SCR) / CHL(VAL, MAG)
Leontodon hirtus	CHL(VAL, BIO)
Leontodon saxatilis	ARG(BAI, COR) / CHL(VAL, LBO, MAU, BIO, ARA, LLA, JFE)
Leonurus cardiaca	ARG(BAI)
Leonurus japonicus	ARG(BAI, CHA, COR, COS, ERI, FOR, JUJ, MIS, SAL, SDE, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APA, CAA, CEN, PAI) / URY(ART, CLA, PAY, RNO)
Lepanthopsis floripecten	BRA(PAR, RGS, SCA)
Lepechinia chamaedryoides	CHL(COQ, VAL, LBO, MAU, BIO, ARA, LLA)
Lepechinia floribunda	ARG(BAI, CAT, CHA, COR, FOR, JUJ, LRI, MEN, SAL, SLU, TUC)
Lepechinia meyenii	ARG(CAT, COR, JUJ, LRI, SAL, TUC)
Lepechinia salviae	CHL(COQ, VAL, RME)
Lepechinia subhastata	CHL(VAL)
Lepechinia vesiculosa	ARG(CAT, JUJ, SAL, TUC)
Lepidagathis alopecuroides	PRY(AMA)
Lepidagathis alvarezia	ARG(JUJ, SAL) / BRA(Fuera del área del proyecto) / PRY(CEN, COA, GUA, PAI)
Lepidagathis meridionalis	BRA(PAR, SCA)
Lepidaploa argyrotricha	BRA(PAR, SCA)
Lepidaploa balansae	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(APA, AMA, CAU, CAA, CAN, CON, COA, GUA, PAI, SPE)
Lepidaploa chamissonis	ARG(CHA, COS, FOR) / BRA(PAR, SCA) / PRY(APY, CHO, PAI, PHA)
Lepidaploa novarae	ARG(SAL)
Lepidaploa pseudomuricata	BRA(PAR, RGS, SCA)
Lepidaploa psilostachya	ARG(MIS) / BRA(PAR) / PRY(APA, COA)
Lepidaploa remotiflora	ARG(COS, FOR, JUJ, MIS, SAL, TUC) / BRA(Fuera del área del proyecto) / PRY(APA, APY, AMA, BOQ, CAU, CAA, CAN, CEN, CON, COA, GUA, ITA, MIE, ÑEE, PAI, PHA, SPE)
Lepidaploa setososquamosa	ARG(SAL) / PRY(APA, AMA, CAN, CON)
Lepidaploa sororia	
Lepidaploa tarijensis	ARG(JUJ, SAL)
Lepidium angustissimum	CHL(ATA, COQ)
Lepidium appelianum	ARG(CHU, MEN, NEU, RNE)
Lepidium argentinum	ARG(CAT, JUJ, LRI, MEN, SAL, TUC)
Lepidium auriculatum	ARG(BAI, CHA, CHU, COR, COS, ERI, FOR, JUJ, LPA, MEN, MIS, NEU, RNE, SAL, SJU, SLU, SCR, SFE, SDE, TUC) / CHL(COQ, VAL, LBO, MAU, BIO, LLA, AIS, MAG) / PRY(APA, CEN, COA, PAI, SPE) / URY(ART, CAS, CLA, COL, CLA, FLA, LAV, MON, PAY, RNO, SJO, SJO, TYT)
Lepidium bipinnatifidum	BRA(RGS) / CHL(VAL, LBO, MAU, BIO, LLA) / URY(MON)
Lepidium boelckeanum	ARG(BAI, COR, COS, LPA, MEN, SLU, SFE, SDE)
Lepidium boelckei	ARG(CAT, JUJ, LRI, SAL)
Lepidium bonariense	ARG(BAI, CAT, CHA, CHU, COR, COS, DFE, ERI, FOR, JUJ, LPA, LRI, MEN, MIS, NEU, RNE, SAL, SJU, SLU, SFE, SDE, TUC) / BRA(RGS, SCA) / CHL(TAR, ANT, ATA, COQ, VAL, BIO, RME, JFE, IPA) / PRY(AMA, CEN, COA) / URY(ART, CAS, CLA, COL, FLA, MAL, MON, ROC, SAO, SJO, TYT)
Lepidium burkartii	ARG(ERI)
Lepidium campestre	
Lepidium chalepense	ARG(CHU, COR, MEN, NEU, RNE, SLU, TDF)
Lepidium chichicara	CHL(TAR, ATA, COQ)
Lepidium coronopus	CHL(LLA)
Lepidium cumingianum	CHL(TAR, VAL, LBO, BIO, RME)
Lepidium densiflorum	ARG(LPA, MEN, SLU)
Lepidium depressum	ARG(CAT, JUJ, LRI, SAL, TUC)
Lepidium didymum	ARG(BAI, CAT, CHA, COR, COS, DFE, ERI, FOR, JUJ, LPA, LRI, MEN, MIS, SAL, SCR, SDE, SFE, SJU, SLU, TDF, TUC) / BRA(RGS, SCA) / CHL(TAR, ANT, ATA, COQ, VAL, LBO, MAU, BIO, ARA, LLA, MAG, RME, IPA) / PRY(CEN, COA) / URY(MON)
Lepidium draba	ARG(BAI, CHU, LPA, MEN, NEU, RNE, SCR, SFE, SLU, TDF) / CHL(TAR, ATA, COQ, VAL, AIS, RME) / URY(MON)
Lepidium filisegmentum	ARG(CHU, LPA, RNE, SCR)
Lepidium gracile	ARG(BAI, CHA, COR, COS, FOR, SLU, SFE, SDE) / PRY(CON, PHA)
Lepidium heterophyllum	
Lepidium hickenii	ARG(BAI)
Lepidium horstii	CHL(VAL)
Lepidium johnstonii	ARG(SAL) / CHL(ANT)
Lepidium jujuyanum	ARG(JUJ)
Lepidium latifolium	ARG(COR) / CHL(MAU)
Lepidium meyenii	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(TAR)
Lepidium myrianthum	ARG(CAT, CHU, LPA, LRI, MEN, NEU, RNE, SJU, SLU) / CHL(ANT)
Lepidium nitidum	CHL(VAL, MAU, BIO)
Lepidium parodii	ARG(BAI, CHU, ERI, RNE, SFE)
Lepidium pedersenii	ARG(CHA, COS, FOR, MIS, SFE, TUC) / PRY(APA, APY)
Lepidium perfoliatum	ARG(CHU, NEU, RNE, SCR)
Lepidium philippianum	CHL(RME)
Lepidium pinnatifidum	ARG(RNE)
Lepidium pseudodidymum	ARG(SCR, TDF) / CHL(VAL, LBO, MAU, BIO, LLA, AIS, MAG, RME)
Lepidium pubescens	CHL(VAL, LBO, BIO, RME)
Lepidium rahmeri	ARG(JUJ, SAL, TUC) / CHL(TAR, ANT)
Lepidium raimondii	CHL(TAR, ATA)
Lepidium reichei	ARG(SJU) / CHL(COQ, RME)
Lepidium rhytidocarpum	ARG(BAI, CHU, ERI, SFE) / URY(PAY, SAO, TAC)
Lepidium santacruzensis	ARG(SCR)
Lepidium sativum	ARG(CHU, MEN, SCR, TDF) / CHL(BIO)
Lepidium serratum	ARG(COS, ERI) / URY(SOR)
Lepidium spathulatum	CHL(ANT, ATA)
Lepidium spicatum	ARG(BAI, CHU, COR, ERI, LPA, MEN, RNE, SJU, SLU, SCR, SFE) / CHL(ATA, BIO, ARA, LLA, MAG, RME) / URY(CAS, COL, LAV)
Lepidium strictum	CHL(TAR, ANT, ATA, VAL, MAU, BIO, ARA, LLA, RME)
